"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"Volts"|0.0|5.0|200,"Analog2"|"Volts"|0.0|5.0|200,"Analog3"|"Volts"|0.0|5.0|200,"Analog4"|"Volts"|0.0|5.0|200,"Analog5"|"Volts"|0.0|5.0|200,"Analog6"|"Volts"|0.0|5.0|200,"Analog7"|"Volts"|0.0|5.0|200,"Analog8"|"Volts"|0.0|5.0|200,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM"|"rpm"|0|8000|500,"RPM2"|"rpm"|0|8000|500,"Latitude"|"Degrees"|-180.0|180.0|25,"Longitude"|"Degrees"|-180.0|180.0|25,"Speed"|"mph"|0.0|150.0|25,"Altitude"|"ft"|0.0|4000.0|25,"GPSSats"|""|0|20|25,"GPSQual"|""|0|5|25,"GPSDOP"|""|0.0|20.0|25
203,0,0.3,0.99,1.1,0.8,4.92,0.15,0.43,2.48,,0.03,0.03,0.98,0,1,-1,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
207,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
209,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
211,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
213,0,0.29,0.97,1.1,0.76,4.89,0.17,0.49,2.44,,0.03,0.05,1.05,0,1,-1,0.06,0,0,,,,,,,
215,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
217,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
219,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
221,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
223,0,0.32,0.99,1.11,0.79,4.87,0.17,0.47,2.42,,-0.02,0.04,0.93,0,0,0,0.04,0,0,,,,,,,
225,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
227,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
229,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
231,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
233,0,0.33,0.99,1.1,0.75,4.91,0.12,0.38,2.41,,0.01,0.03,1.01,0,-3,-0,0.04,0,0,,,,,,,
235,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
237,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
239,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
241,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
243,0,0.3,1.0,1.12,0.83,4.93,0.13,0.45,2.48,,0.03,0.02,1.02,0,4,-1,0.03,0,0,0.0,0.0,0.0,0.0,0,0,0.0
245,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
247,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
249,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
251,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
253,0,0.29,0.98,1.09,0.73,4.91,0.19,0.4,2.44,,-0.03,0.04,0.99,0,-2,-0,0.05,0,0,,,,,,,
255,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
257,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
259,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
261,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
263,0,0.29,0.96,1.07,0.71,4.88,0.16,0.37,2.43,,0.01,0.06,0.99,0,-1,-0,0.06,0,0,,,,,,,
265,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
267,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
269,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
271,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
273,0,0.29,0.99,1.12,0.77,4.92,0.14,0.42,2.47,,0.03,0.05,1.05,0,-0,0,0.05,0,0,,,,,,,
275,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
277,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
279,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
281,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
283,0,0.3,1.01,1.12,0.76,4.92,0.21,0.41,2.47,,-0.03,0.03,0.94,0,-2,0,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0
285,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
287,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
289,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
291,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
293,0,0.34,1.01,1.12,0.82,4.92,0.13,0.4,2.47,,-0.01,0.04,1.03,0,-0,0,0.04,0,0,,,,,,,
295,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
297,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
299,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
301,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
303,0,0.31,0.99,1.11,0.77,4.94,0.14,0.41,2.48,,0.08,0.02,0.98,0,2,1,0.08,0,0,,,,,,,
305,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
307,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
309,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
311,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
313,0,0.3,1.01,1.12,0.75,4.93,0.18,0.41,2.48,,-0.04,0.04,1.04,0,-3,0,0.06,0,0,,,,,,,
315,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
317,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
319,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
321,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
323,0,0.32,0.99,1.11,0.74,4.91,0.12,0.39,2.46,,0.01,0.03,0.95,0,-1,1,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0
325,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
327,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
329,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
331,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
333,0,0.28,0.97,1.09,0.74,4.88,0.11,0.36,2.45,,0.02,0.02,0.99,0,1,1,0.03,0,0,,,,,,,
335,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
337,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
339,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
341,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
343,0,0.27,0.97,1.09,0.69,4.88,0.19,0.39,2.44,,-0.01,0.03,1.0,0,-0,-1,0.03,0,0,,,,,,,
345,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
347,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
349,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
351,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
353,0,0.32,1.02,1.09,0.75,4.92,0.13,0.42,2.47,,0.0,0.04,0.98,0,3,-0,0.04,0,0,,,,,,,
355,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
357,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
359,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
361,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
363,0,0.32,1.0,1.12,0.68,4.93,0.15,0.4,2.48,,0.07,-0.01,0.97,0,-2,0,0.07,0,0,0.0,0.0,0.0,0.0,0,0,0.0
365,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
367,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
369,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
371,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
373,0,0.27,0.97,1.09,0.71,4.89,0.12,0.41,2.42,,-0.02,0.02,1.06,0,1,0,0.03,0,0,,,,,,,
375,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
377,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
379,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
381,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
383,0,0.31,1.01,1.1,0.74,4.93,0.13,0.41,2.46,,-0.01,0.03,0.95,0,0,-1,0.03,0,0,,,,,,,
385,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
387,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
389,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
391,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
393,0,0.32,1.0,1.11,0.74,4.94,0.16,0.41,2.48,,0.03,0.02,0.98,0,1,-1,0.04,0,0,,,,,,,
395,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
397,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
399,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
401,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
403,0,0.29,1.0,1.12,0.71,4.94,0.17,0.46,2.48,,0.03,0.06,1.06,0,0,-1,0.07,0,0,0.0,0.0,0.0,0.0,0,0,0.0
405,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
407,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
409,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
411,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
413,0,0.31,1.02,1.12,0.75,4.92,0.16,0.43,2.47,,-0.01,0.04,0.93,0,1,0,0.04,0,0,,,,,,,
415,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
417,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
419,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
421,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
423,0,0.31,0.99,1.09,0.7,4.89,0.1,0.35,2.44,,0.02,0.04,1.01,0,-3,-0,0.04,0,0,,,,,,,
425,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
427,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
429,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
431,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
433,0,0.28,0.98,1.1,0.76,4.92,0.11,0.42,2.47,,0.03,0.02,1.03,0,3,-1,0.03,0,0,,,,,,,
435,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
437,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
439,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
441,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
443,0,0.31,1.01,1.11,0.74,4.93,0.17,0.42,2.48,,-0.02,0.04,0.99,0,-2,-0,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0
445,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
447,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
449,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
451,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
453,0,0.31,0.99,1.1,0.7,4.9,0.18,0.38,2.46,,0.03,0.05,1.0,0,-1,-0,0.05,0,0,,,,,,,
455,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
457,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
459,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
461,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
463,0,0.28,0.98,1.1,0.71,4.91,0.11,0.42,2.46,,0.04,0.06,1.07,0,-0,0,0.07,0,0,,,,,,,
465,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
467,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
469,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
471,0,,,,,,,,,,,,,,,,,0,0,,,,,,,
