"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"Volts"|0.0|5.0|200,"Analog2"|"Volts"|0.0|5.0|200,"Analog3"|"Volts"|0.0|5.0|200,"Analog4"|"Volts"|0.0|5.0|200,"Analog5"|"Volts"|0.0|5.0|200,"Analog6"|"Volts"|0.0|5.0|200,"Analog7"|"Volts"|0.0|5.0|200,"Analog8"|"Volts"|0.0|5.0|200,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM"|"rpm"|0|8000|500,"RPM2"|"rpm"|0|8000|500,"Latitude"|"Degrees"|-180.0|180.0|25,"Longitude"|"Degrees"|-180.0|180.0|25,"Speed"|"mph"|0.0|150.0|25,"Altitude"|"ft"|0.0|4000.0|25,"GPSSats"|""|0|20|25,"GPSQual"|""|0|5|25,"GPSDOP"|""|0.0|20.0|25
183,0,3.94,3.56,3.99,3.71,4.87,0.32,0.86,1.82,,0.08,-0.24,0.99,-29,-7,-16,0.25,3120,0,,,,,,,
185,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
187,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
189,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
191,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
193,0,3.94,3.57,3.99,3.75,4.95,0.36,0.98,1.79,,0.28,-0.1,0.84,-29,-20,-7,0.3,3180,0,,,,,,,
195,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
197,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
199,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
201,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
203,0,3.95,3.61,3.96,3.72,4.9,0.53,1.5,1.79,,0.11,0.01,0.47,-30,-26,3,0.11,3180,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
207,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
209,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
211,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
213,0,3.92,3.59,4.0,3.71,4.95,0.3,1.61,1.79,,0.2,-0.03,0.54,-30,-21,7,0.2,3120,0,,,,,,,
215,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
217,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
219,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
221,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
223,0,3.97,3.65,3.99,3.74,4.93,0.36,1.86,1.81,,0.19,-0.07,0.46,-30,-9,13,0.2,3120,0,,,,,,,
225,0,,,,,,,,,,,,,,,,,3120,0,,,,,,,
227,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
229,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
231,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
233,0,3.96,3.61,4.02,3.69,4.91,0.43,1.83,1.78,,0.01,-0.07,0.78,-29,0,14,0.07,3240,0,,,,,,,
235,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
237,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
239,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
241,0,,,,,,,,,,,,,,,,,3240,0,,,,,,,
243,0,3.97,3.67,3.99,3.72,4.91,0.39,1.87,1.78,,0.06,-0.24,0.47,-28,-15,15,0.24,3240,0,0.0,0.0,0.0,0.0,0,0,0.0
245,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
247,0,,,,,,,,,,,,,,,,,3180,0,,,,,,,
