"Interval|""ms""|0|0|1","Analog1|""""|0|5|50"
28643,5
28663,5
28683,5
28703,5
28723,5
28743,5
28763,5
28783,5
28803,5
28823,5
28843,5
28863,5
28883,5
28903,5
28923,5
28943,5
28983,5
29003,5
29023,5
29043,5
29083,5
29103,5
29123,5
29143,5
29163,5
29183,5
29223,5
29243,5
29263,5
29283,5
29303,5
29323,5
29363,5
29383,5
29403,5
29423,5
29443,5
29463,5
29483,5
29503,5
29523,5
29543,5
29563,5
29583,5
29603,5
29683,5
29703,5
29723,5
29743,5
29763,5
29783,5
29803,5
29823,5
29843,5
29863,5
29903,5
29923,5
29943,5
29963,5
29983,5
30003,5
30043,5
30063,5
30083,5
30103,5
30123,5
30143,5
30183,5
30203,5
30223,5
30263,5
30283,5
30303,5
30323,5
30343,5
30363,5
30383,5
30403,5
30423,5
30443,5
30483,5
30503,5
30523,5
30543,5
30563,5
30583,5
30623,5
30643,5
30723,5
30743,5
30763,5
30783,5
30803,5
30843,5
30863,5
30883,5
30903,5
30923,5
30943,5
30963,5
30983,5
31003,5
31023,5
31043,5
31063,5
31083,5
31103,5
31123,5
31143,5
31183,5
31203,5
31223,5
31243,5
31263,5
31283,5
31303,5
31323,5
31343,5
31363,5
31383,5
31403,5
31423,5
31443,5
31463,5
31483,5
31503,5
31523,5
31543,5
31563,5
31583,5
31603,5
31623,5
31643,5
31663,5
31683,5
31703,5
31783,5
31803,5
31823,5
31843,5
31863,5
31883,5
31903,5
31943,5
31963,5
31983,5
32003,5
32023,5
32043,5
32063,5
32083,5
32103,5
32123,5
32143,5
32163,5
32183,5
32203,5
32243,5
32263,5
32283,5
32303,5
32323,5
32343,5
32363,5
32383,5
32403,5
32423,5
32443,5
32463,5
32483,5
32503,5
32523,5
32543,5
32563,5
32603,5
32623,5
32643,5
32663,5
32683,5
32703,5
32723,5
32743,5
32763,5
32843,5
32863,5
32883,5
32903,5
32923,5
32943,5
32963,5
32983,5
33003,5
33043,5
33063,5
33083,5
33103,5
33123,5
33143,5
33163,5
33203,5
33223,5
33243,5
33263,5
33283,5
33303,5
33343,0
33363,0
33383,5
33403,5
33423,5
33443,5
33463,5
33503,5
33523,5
33543,5
33563,5
33583,5
33603,5
33623,5
33643,5
33663,5
